source,target
Stagione_1968-1969,Importo_25000000_1
Stagione_1968-1969,Importo_1500000_5
Stagione_1968-1969,Importo_300000_6
Stagione_1968-1969,Importo_200000_7
Stagione_1968-1969,Importo_5000000_9
Stagione_1968-1969,Importo_6000000_4
Stagione_1968-1969,Importo_10000000_4
Stagione_1968-1969,Importo_15000000_3
Stagione_1968-1969,Importo_18000000_1
Stagione_1968-1969,Importo_21000000_1
Stagione_1968-1969,Importo_24000000_2
Stagione_1968-1969,Importo_24000000_1
Stagione_1968-1969,Importo_26000000_1
Stagione_1968-1969,Importo_200000_6
Stagione_1968-1969,Importo_300000_5
Stagione_1968-1969,Importo_150000_3
Stagione_1968-1969,Importo_300000_4
Stagione_1968-1969,Importo_100000_2
Stagione_1968-1969,Importo_300000_3
Stagione_1968-1969,Importo_300000_2
Stagione_1968-1969,Importo_800000_1
Stagione_1968-1969,Importo_150000_2
Stagione_1968-1969,Importo_200000_5
Stagione_1968-1969,Importo_70000_1
Stagione_1968-1969,Importo_500000_1
Stagione_1968-1969,Importo_120000_2
Stagione_1968-1969,Importo_100000_1
Stagione_1968-1969,Importo_250000_2
Stagione_1968-1969,Importo_200000_4
Stagione_1968-1969,Importo_300000_1
Stagione_1968-1969,Importo_80000_1
Stagione_1968-1969,Importo_220000_2
Stagione_1968-1969,Importo_220000_1
Stagione_1968-1969,Importo_400000_3
Stagione_1968-1969,Importo_400000_2
Stagione_1968-1969,Importo_150000_1
Stagione_1968-1969,Importo_200000_3
Stagione_1968-1969,Importo_200000_2
Stagione_1968-1969,Importo_400000_1
Stagione_1968-1969,Importo_250000_1
Stagione_1968-1969,Importo_200000_1
Stagione_1968-1969,Importo_350000_1
Stagione_1968-1969,Importo_120000_1
Stagione_1968-1969,Importo_450000_1
Stagione_1968-1969,Importo_3000000_18
Stagione_1968-1969,Importo_3000000_17
Stagione_1968-1969,Importo_3000000_16
Stagione_1968-1969,Importo_2000000_1
Stagione_1968-1969,Importo_2500000_1
Stagione_1968-1969,Importo_3000000_15
Stagione_1968-1969,Importo_3000000_14
Stagione_1968-1969,Importo_3000000_13
Stagione_1968-1969,Importo_3000000_12
Stagione_1968-1969,Importo_3000000_11
Stagione_1968-1969,Importo_3000000_10
Stagione_1968-1969,Importo_3000000_9
Stagione_1968-1969,Importo_3000000_8
Stagione_1968-1969,Importo_4000000_8
Stagione_1968-1969,Importo_4000000_7
Stagione_1968-1969,Importo_5000000_8
Stagione_1968-1969,Importo_5000000_7
Stagione_1968-1969,Importo_5000000_6
Stagione_1968-1969,Importo_5000000_5
Stagione_1968-1969,Importo_5000000_4
Stagione_1968-1969,Importo_6000000_3
Stagione_1968-1969,Importo_6000000_2
Stagione_1968-1969,Importo_6000000_1
Stagione_1968-1969,Importo_4000000_6
Stagione_1968-1969,Importo_1500000_4
Stagione_1968-1969,Importo_1500000_3
Stagione_1968-1969,Importo_5000000_3
Stagione_1968-1969,Importo_1000000_2
Stagione_1968-1969,Importo_1000000_1
Stagione_1968-1969,Importo_1500000_2
Stagione_1968-1969,Importo_1500000_1
Stagione_1968-1969,Importo_1800000_1
Stagione_1968-1969,Importo_3000000_7
Stagione_1968-1969,Importo_8000000_3
Stagione_1968-1969,Importo_20000000_5
Stagione_1968-1969,Importo_3000000_6
Stagione_1968-1969,Importo_3000000_5
Stagione_1968-1969,Importo_3000000_4
Stagione_1968-1969,Importo_4000000_5
Stagione_1968-1969,Importo_4000000_4
Stagione_1968-1969,Importo_4000000_3
Stagione_1968-1969,Importo_4000000_2
Stagione_1968-1969,Importo_4000000_1
Stagione_1968-1969,Importo_5000000_2
Stagione_1968-1969,Importo_10000000_3
Stagione_1968-1969,Importo_10000000_2
Stagione_1968-1969,Importo_8000000_2
Stagione_1968-1969,Importo_8000000_1
Stagione_1968-1969,Importo_10000000_1
Stagione_1968-1969,Importo_11000000_1
Stagione_1968-1969,Importo_15000000_2
Stagione_1968-1969,Importo_15000000_1
Stagione_1968-1969,Importo_20000000_4
Stagione_1968-1969,Importo_20000000_3
Stagione_1968-1969,Importo_20000000_2
Stagione_1968-1969,Importo_20000000_1
Stagione_1968-1969,Importo_5000000_1
Stagione_1968-1969,Importo_3000000_3
Stagione_1968-1969,Importo_7000000_1
Stagione_1968-1969,Importo_4500000_1
Stagione_1968-1969,Importo_3000000_2
Stagione_1968-1969,Importo_3000000_1
Stagione_1968-1969,Importo_35000000_1
Stagione_1968-1969,Importo_40000000_2
Stagione_1968-1969,Importo_80000000_1
Stagione_1968-1969,Importo_145000000_1
Stagione_1968-1969,Importo_115000000_1
Stagione_1968-1969,Importo_95000000_1
Stagione_1968-1969,Importo_45000000_1
Stagione_1968-1969,Importo_40000000_1
Stagione_1968-1969,Gennaio_1969
Stagione_1968-1969,30_ottobre_1969
Stagione_1968-1969,29_ottobre_1980
Stagione_1968-1969,29_ottobre_1979
Stagione_1968-1969,29_ottobre_1978
Stagione_1968-1969,29_ottobre_1977
Stagione_1968-1969,29_ottobre_1976
Stagione_1968-1969,29_ottobre_1975
Stagione_1968-1969,29_ottobre_1974
Stagione_1968-1969,29_ottobre_1973
Stagione_1968-1969,29_ottobre_1972
Stagione_1968-1969,29_ottobre_1971
Stagione_1968-1969,29_ottobre_1970
Stagione_1968-1969,29_ottobre_1969
Stagione_1968-1969,29_ottobre_1968
Stagione_1968-1969,17_luglio_1969
Stagione_1968-1969,Verbale_n.223
Stagione_1968-1969,Verbale_n.222
Stagione_1968-1969,Appunto
Verbale_n.223,30_ottobre_1969
Verbale_n.222,17_luglio_1969
Appunto,Gennaio_1969
Appunto,29_ottobre_1980
Appunto,29_ottobre_1979
Appunto,29_ottobre_1978
Appunto,29_ottobre_1977
Appunto,29_ottobre_1976
Appunto,29_ottobre_1975
Appunto,29_ottobre_1974
Appunto,29_ottobre_1973
Appunto,29_ottobre_1972
Appunto,29_ottobre_1971
Appunto,29_ottobre_1970
Appunto,29_ottobre_1969
Appunto,29_ottobre_1968
