source,target
"I_senza_tetto""_dell'Università_Cattolica_Sacro_Cuore_di_Roma""",Importo_500000_11
"I_senza_tetto""_dell'Università_Cattolica_Sacro_Cuore_di_Roma""",3_dicembre_1969
"I_senza_tetto""_dell'Università_Cattolica_Sacro_Cuore_di_Roma""",Verbale_n._225
"I_senza_tetto""_dell'Università_Cattolica_Sacro_Cuore_di_Roma""",Stagione_1969-1970
"I_senza_tetto""_dell'Università_Cattolica_Sacro_Cuore_di_Roma""",Premio_finale
"I_senza_tetto""_dell'Università_Cattolica_Sacro_Cuore_di_Roma""",Roma
"I_senza_tetto""_dell'Università_Cattolica_Sacro_Cuore_di_Roma""",Teatro_Universitario
"Alessandro_Fersen_Golem""",Importo_5000000_19
"Alessandro_Fersen_Golem""",Importo_10000000_5
"Alessandro_Fersen_Golem""",3_dicembre_1969
"Alessandro_Fersen_Golem""",23_aprile_1971
"Alessandro_Fersen_Golem""",Verbale_n._232
"Alessandro_Fersen_Golem""",Verbale_n._225
"Alessandro_Fersen_Golem""",Stagione_1969-1970
"Alessandro_Fersen_Golem""",Integrazioni
"Alessandro_Fersen_Golem""",Manifestazione_Straordinaria
Amleto_Zamperla,Importo_500000_5
Amleto_Zamperla,25_novembre_1969
Amleto_Zamperla,Verbale_n.224
Amleto_Zamperla,Stagione_1969-1970
Amleto_Zamperla,Contibuto_di_avviamento
Amleto_Zamperla,Compagnia_teatro_minore
Angelicum,Importo_1000000_15
Angelicum,Importo_9000000_3
Angelicum,3_dicembre_1969
Angelicum,21_luglio_1970
Angelicum,Verbale_n._228
Angelicum,Verbale_n._225
Angelicum,Stagione_1969-1970
Angelicum,Premio_finale
Angelicum,Integrazioni
Angelicum,Milano
Angelicum,Teatro_ragazzi
"Associazione_di_Cultura_Teatrale_-_Teatro_Club_Premio_Roma_70""",Importo_45000000_2
"Associazione_di_Cultura_Teatrale_-_Teatro_Club_Premio_Roma_70""",26_febbraio_1970
"Associazione_di_Cultura_Teatrale_-_Teatro_Club_Premio_Roma_70""",Verbale_n._226
"Associazione_di_Cultura_Teatrale_-_Teatro_Club_Premio_Roma_70""",Stagione_1969-1970
"Associazione_di_Cultura_Teatrale_-_Teatro_Club_Premio_Roma_70""",Manifestazione_Straordinaria
"Associazione_di_Cultura_Teatrale_-_Teatro_Club_Premio_Roma_70""",Roma
"Associazione_di_Cultura_Teatrale_-_Teatro_Club_Premio_Roma_70""",Compagnia_teatrale
Associazione_Teatro_Giovani_di_Valerio_Vancheri_di_Milano,Importo_5000000_12
Associazione_Teatro_Giovani_di_Valerio_Vancheri_di_Milano,3_dicembre_1969
Associazione_Teatro_Giovani_di_Valerio_Vancheri_di_Milano,Verbale_n._225
Associazione_Teatro_Giovani_di_Valerio_Vancheri_di_Milano,Stagione_1969-1970
Associazione_Teatro_Giovani_di_Valerio_Vancheri_di_Milano,Premio_finale
Associazione_Teatro_Giovani_di_Valerio_Vancheri_di_Milano,Milano
Associazione_Teatro_Giovani_di_Valerio_Vancheri_di_Milano,Teatro_ragazzi
Bax-Bellei-Bussolini-Rizzoli,Importo_355000_1
Bax-Bellei-Bussolini-Rizzoli,Importo_9000000_7
Bax-Bellei-Bussolini-Rizzoli,21_luglio_1970
Bax-Bellei-Bussolini-Rizzoli,Verbale_n._228
Bax-Bellei-Bussolini-Rizzoli,Stagione_1969-1970
Bax-Bellei-Bussolini-Rizzoli,Premio_di_Qualità
Bax-Bellei-Bussolini-Rizzoli,Integrazione_recite
Bax-Bellei-Bussolini-Rizzoli,Venezia
Bax-Bellei-Bussolini-Rizzoli,Compagnia_teatrale
