source,target
"I_senza_tetto""_dell'Università_Cattolica_Sacro_Cuore_di_Roma""",Teatro_Universitario
"Alessandro_Fersen_Golem""",Manifestazione_Straordinaria
Alessandro_Ninchi,Compagnia_teatrale
Alfieri,Teatro
Alfred_Jarry,Sperimentazione_teatrale
Amleto_Zamperla,Compagnia_teatro_minore
Angelicum,Teatro_ragazzi
Associati,Compagnia_teatrale
"Associazione_di_Cultura_Teatrale_-_Teatro_Club_Premio_Roma_70""",Compagnia_teatrale
Associazione_Teatro_Giovani_di_Valerio_Vancheri_di_Milano,Teatro_ragazzi
Associazione_Teatro_Giovani_Guglielmo_Viti,Teatro_ragazzi
Associazione_Universitaria_Teatrale_Romana,Teatro_Universitario
Bar-Bellei-Bussoino-Rizzoli,Compagnia_teatrale
Bax-Bellei-Bussolini-Rizzoli,Compagnia_teatrale
Biondo,Teatro
Brignone-Santuccio,Compagnia_teatrale
Brignone-Santuccio_(Cooperativa_Attori_e_Autori_Italiani),Compagnia_teatrale
Brignone-Santuccio-Millo,Compagnia_teatrale
Carignano,Teatro
Carrara-Laurini,Compagnia_teatro_minore
Carro_di_Tespi,Teatro_ragazzi
Centrale,Teatro
Centro_Attori,Compagnia_teatrale
Centro_Attori_la_Contemporanea,Compagnia_teatrale
Centro_Attori_Milano,Compagnia_teatrale
"Centro_di_Laovro_Teatrale_Il_Trebbo""",Compagnia_teatro_minore
Centro_di_Ricerche_Teatrali_I_Rabdomanti,Compagnia_teatro_minore
Centro_Teatro_Esse,Sperimentazione_teatrale
Centro_Universitario_di_Perugia,Teatro_Universitario
Centro_Universitario_Teatrale_di_Urbino,Teatro_Universitario
Cervi-Adani-Carlini-Granata,Compagnia_teatrale
Cervi-Pagani-Carlini-Granata,Compagnia_teatrale
Chiari-Chelli,Compagnia_teatrale
CIttà_di_Firenze,Compagnia_teatrale
Comapgnia_della_Loggetta,Compagnia_teatrale
Comapgnia_il_Triennio,Compagnia_teatrale
Comicità_Teatrale_Italiana,Sperimentazione_teatrale
Comp._Del_Teatro_Italiano_con_Peppino_De_Filippo_,Compagnia_teatrale
Compagnia_alla_Ringhiera_di_Molè,Sperimentazione_teatrale
Compagnia_Bax-Bellei,Compagnia_teatrale
Compagnia_Bax-Bellei-Bussolino,Compagnia_teatrale
Compagnia_Cristiano_e_Isabella,Sperimentazione_teatrale
Compagnia_De_Lullo-Falk-Valli-Albani,Compagnia_teatrale
Compagnia_dei_Commedianti,Compagnia_teatrale
Compagnia_dei_Filodrammatici,Compagnia_teatrale
Compagnia_dei_Quattro,Compagnia_teatrale
Compagnia_dei_Quattro_,Compagnia_teatrale
Compagnia_del_Dramma_Italiano,Compagnia_teatrale
Compagnia_del_Malinteso,Compagnia_teatrale
Compagnia_del_Porcospino_II,Compagnia_teatrale
Compagnia_del_Teatro_dei_Leggendari_di_Siena,Compagnia_teatrale
