id,label,type,node_value,node_color,node_size
"I_senza_tetto""_dell'Università_Cattolica_Sacro_Cuore_di_Roma""","I senza tetto"" dell'Università Cattolica Sacro Cuore di Roma""",Soggetto beneficiario,500000,#56C1FF,15
"Alessandro_Fersen_Golem""","Alessandro Fersen Golem""",Soggetto beneficiario,15000000,#56C1FF,446
Alessandro_Ninchi,Alessandro Ninchi,Soggetto beneficiario,4000000,#56C1FF,119
Alfieri,Alfieri,Soggetto beneficiario,8000000,#56C1FF,238
Alfred_Jarry,Alfred Jarry,Soggetto beneficiario,1800000,#56C1FF,54
Amleto_Zamperla,Amleto Zamperla,Soggetto beneficiario,500000,#56C1FF,15
Angelicum,Angelicum,Soggetto beneficiario,27000000,#56C1FF,107
Associati,Associati,Soggetto beneficiario,20000000,#56C1FF,594
"Associazione_di_Cultura_Teatrale_-_Teatro_Club_Premio_Roma_70""","Associazione di Cultura Teatrale - Teatro Club Premio Roma 70""",Soggetto beneficiario,45000000,#56C1FF,642
Associazione_Teatro_Giovani_di_Valerio_Vancheri_di_Milano,Associazione Teatro Giovani di Valerio Vancheri di Milano,Soggetto beneficiario,5000000,#56C1FF,149
Associazione_Teatro_Giovani_Guglielmo_Viti,Associazione Teatro Giovani Guglielmo Viti,Soggetto beneficiario,7000000,#56C1FF,208
Associazione_Universitaria_Teatrale_Romana,Associazione Universitaria Teatrale Romana,Soggetto beneficiario,1000000,#56C1FF,30
Bar-Bellei-Bussoino-Rizzoli,Bar-Bellei-Bussoino-Rizzoli,Soggetto beneficiario,9000000,#56C1FF,267
Bax-Bellei-Bussolini-Rizzoli,Bax-Bellei-Bussolini-Rizzoli,Soggetto beneficiario,355000,#56C1FF,11
Biondo,Biondo,Soggetto beneficiario,6500000,#56C1FF,193
Brignone-Santuccio,Brignone-Santuccio,Soggetto beneficiario,16000000,#56C1FF,475
Brignone-Santuccio_(Cooperativa_Attori_e_Autori_Italiani),Brignone-Santuccio (Cooperativa Attori e Autori Italiani),Soggetto beneficiario,15000000,#56C1FF,446
Brignone-Santuccio-Millo,Brignone-Santuccio-Millo,Soggetto beneficiario,5450000,#56C1FF,162
Carignano,Carignano,Soggetto beneficiario,10000000,#56C1FF,297
Carrara-Laurini,Carrara-Laurini,Soggetto beneficiario,1200000,#56C1FF,36
Carro_di_Tespi,Carro di Tespi,Soggetto beneficiario,17000000,#56C1FF,505
Centrale,Centrale,Soggetto beneficiario,5000000,#56C1FF,149
Centro_Attori,Centro Attori,Soggetto beneficiario,2225000,#56C1FF,66
Centro_Attori_la_Contemporanea,Centro Attori la Contemporanea,Soggetto beneficiario,1000000,#56C1FF,30
Centro_Attori_Milano,Centro Attori Milano,Soggetto beneficiario,150000,#56C1FF,5
"Centro_di_Laovro_Teatrale_Il_Trebbo""","Centro di Laovro Teatrale Il Trebbo""",Soggetto beneficiario,1000000,#56C1FF,30
Centro_di_Ricerche_Teatrali_I_Rabdomanti,Centro di Ricerche Teatrali I Rabdomanti,Soggetto beneficiario,500000,#56C1FF,15
Centro_Teatro_Esse,Centro Teatro Esse,Soggetto beneficiario,2600000,#56C1FF,77
Centro_Universitario_di_Perugia,Centro Universitario di Perugia,Soggetto beneficiario,3000000,#56C1FF,89
