id,label,type,node_value,node_color,node_size
Importo_25000000_1,25000000,Importo,25000000,#73FDEA,439
Importo_1500000_5,1500000,Importo,1500000,#73FDEA,25
Importo_300000_6,300000,Importo,300000,#73FDEA,4
Importo_200000_7,200000,Importo,200000,#73FDEA,2
Importo_5000000_9,5000000,Importo,5000000,#73FDEA,87
Importo_6000000_4,6000000,Importo,6000000,#73FDEA,104
Importo_10000000_4,10000000,Importo,10000000,#73FDEA,175
Importo_15000000_3,15000000,Importo,15000000,#73FDEA,263
Importo_18000000_1,18000000,Importo,18000000,#73FDEA,316
Importo_21000000_1,21000000,Importo,21000000,#73FDEA,369
Importo_24000000_2,24000000,Importo,24000000,#73FDEA,421
Importo_24000000_1,24000000,Importo,24000000,#73FDEA,421
Importo_26000000_1,26000000,Importo,26000000,#73FDEA,457
Importo_200000_6,200000,Importo,200000,#73FDEA,2
Importo_300000_5,300000,Importo,300000,#73FDEA,4
Stagione_1968-1969,Stagione 1968-1969,Stagione,1143780000,#FF95CA,30
Importo_150000_3,150000,Importo,150000,#73FDEA,1
Importo_300000_4,300000,Importo,300000,#73FDEA,4
Importo_100000_2,100000,Importo,100000,#73FDEA,1
Importo_300000_3,300000,Importo,300000,#73FDEA,4
Importo_300000_2,300000,Importo,300000,#73FDEA,4
Importo_800000_1,800000,Importo,800000,#73FDEA,1
Importo_150000_2,150000,Importo,150000,#73FDEA,1
Importo_200000_5,200000,Importo,200000,#73FDEA,2
Importo_70000_1,70000,Importo,70000,#73FDEA,1
Importo_500000_1,500000,Importo,500000,#73FDEA,8
Importo_120000_2,120000,Importo,120000,#73FDEA,1
Importo_100000_1,100000,Importo,100000,#73FDEA,1
Importo_250000_2,250000,Importo,250000,#73FDEA,3
Importo_200000_4,200000,Importo,200000,#73FDEA,2
Importo_300000_1,300000,Importo,300000,#73FDEA,4
Importo_80000_1,80000,Importo,80000,#73FDEA,0
Importo_220000_2,220000,Importo,220000,#73FDEA,3
Importo_220000_1,220000,Importo,220000,#73FDEA,3
Importo_400000_3,400000,Importo,400000,#73FDEA,6
Importo_400000_2,400000,Importo,400000,#73FDEA,6
Importo_150000_1,150000,Importo,150000,#73FDEA,1
Importo_200000_3,200000,Importo,200000,#73FDEA,2
Importo_200000_2,200000,Importo,200000,#73FDEA,2
Importo_400000_1,400000,Importo,400000,#73FDEA,6
Importo_250000_1,250000,Importo,250000,#73FDEA,3
Importo_200000_1,200000,Importo,200000,#73FDEA,2
Importo_350000_1,350000,Importo,350000,#73FDEA,0
Importo_120000_1,120000,Importo,120000,#73FDEA,1
Importo_450000_1,450000,Importo,450000,#73FDEA,7
Importo_3000000_18,3000000,Importo,3000000,#73FDEA,52
Importo_3000000_17,3000000,Importo,3000000,#73FDEA,52
Importo_3000000_16,3000000,Importo,3000000,#73FDEA,52
Importo_2000000_1,2000000,Importo,2000000,#73FDEA,34
Importo_2500000_1,2500000,Importo,2500000,#73FDEA,43
Importo_3000000_15,3000000,Importo,3000000,#73FDEA,52
Importo_3000000_14,3000000,Importo,3000000,#73FDEA,52
Importo_3000000_13,3000000,Importo,3000000,#73FDEA,52
Importo_3000000_12,3000000,Importo,3000000,#73FDEA,52
Importo_3000000_11,3000000,Importo,3000000,#73FDEA,52
Importo_3000000_10,3000000,Importo,3000000,#73FDEA,52
Importo_3000000_9,3000000,Importo,3000000,#73FDEA,52
Importo_3000000_8,3000000,Importo,3000000,#73FDEA,52
Importo_4000000_8,4000000,Importo,4000000,#73FDEA,69
Importo_4000000_7,4000000,Importo,4000000,#73FDEA,69
Importo_5000000_8,5000000,Importo,5000000,#73FDEA,87
Importo_5000000_7,5000000,Importo,5000000,#73FDEA,87
Importo_5000000_6,5000000,Importo,5000000,#73FDEA,87
Importo_5000000_5,5000000,Importo,5000000,#73FDEA,87
Importo_5000000_4,5000000,Importo,5000000,#73FDEA,87
Importo_6000000_3,6000000,Importo,6000000,#73FDEA,104
Importo_6000000_2,6000000,Importo,6000000,#73FDEA,104
Importo_6000000_1,6000000,Importo,6000000,#73FDEA,104
Importo_4000000_6,4000000,Importo,4000000,#73FDEA,69
Importo_1500000_4,1500000,Importo,1500000,#73FDEA,25
Importo_1500000_3,1500000,Importo,1500000,#73FDEA,25
Importo_5000000_3,5000000,Importo,5000000,#73FDEA,87
Importo_1000000_2,1000000,Importo,1000000,#73FDEA,16
Importo_1000000_1,1000000,Importo,1000000,#73FDEA,16
Importo_1500000_2,1500000,Importo,1500000,#73FDEA,25
Importo_1500000_1,1500000,Importo,1500000,#73FDEA,25
Importo_1800000_1,1800000,Importo,1800000,#73FDEA,31
Importo_3000000_7,3000000,Importo,3000000,#73FDEA,52
Importo_8000000_3,8000000,Importo,8000000,#73FDEA,140
Importo_20000000_5,20000000,Importo,20000000,#73FDEA,351
Importo_3000000_6,3000000,Importo,3000000,#73FDEA,52
Importo_3000000_5,3000000,Importo,3000000,#73FDEA,52
Importo_3000000_4,3000000,Importo,3000000,#73FDEA,52
Importo_4000000_5,4000000,Importo,4000000,#73FDEA,69
Importo_4000000_4,4000000,Importo,4000000,#73FDEA,69
Importo_4000000_3,4000000,Importo,4000000,#73FDEA,69
Importo_4000000_2,4000000,Importo,4000000,#73FDEA,69
Importo_4000000_1,4000000,Importo,4000000,#73FDEA,69
Importo_5000000_2,5000000,Importo,5000000,#73FDEA,87
Importo_10000000_3,10000000,Importo,10000000,#73FDEA,175
Importo_10000000_2,10000000,Importo,10000000,#73FDEA,175
Importo_8000000_2,8000000,Importo,8000000,#73FDEA,140
Importo_8000000_1,8000000,Importo,8000000,#73FDEA,140
Importo_10000000_1,10000000,Importo,10000000,#73FDEA,175
Importo_11000000_1,11000000,Importo,11000000,#73FDEA,193
Importo_15000000_2,15000000,Importo,15000000,#73FDEA,263
Importo_15000000_1,15000000,Importo,15000000,#73FDEA,263
Importo_20000000_4,20000000,Importo,20000000,#73FDEA,351
Importo_20000000_3,20000000,Importo,20000000,#73FDEA,351
Importo_20000000_2,20000000,Importo,20000000,#73FDEA,351
Importo_20000000_1,20000000,Importo,20000000,#73FDEA,351
Importo_5000000_1,5000000,Importo,5000000,#73FDEA,87
Importo_3000000_3,3000000,Importo,3000000,#73FDEA,52
Importo_7000000_1,7000000,Importo,7000000,#73FDEA,122
Importo_4500000_1,4500000,Importo,4500000,#73FDEA,78
Importo_3000000_2,3000000,Importo,3000000,#73FDEA,52
Importo_3000000_1,3000000,Importo,3000000,#73FDEA,52
Importo_35000000_1,35000000,Importo,35000000,#73FDEA,615
Importo_40000000_2,40000000,Importo,40000000,#73FDEA,9
Importo_80000000_1,80000000,Importo,80000000,#73FDEA,19
Importo_145000000_1,145000000,Importo,145000000,#73FDEA,469
Importo_115000000_1,115000000,Importo,115000000,#73FDEA,635
Importo_95000000_1,95000000,Importo,95000000,#73FDEA,283
Importo_45000000_1,45000000,Importo,45000000,#73FDEA,97
Importo_40000000_1,40000000,Importo,40000000,#73FDEA,9
Gennaio_1969,1 gennaio 1969,Data documento,5000000,#1DB100,87
30_ottobre_1969,30 ottobre 1969,Data documento,26800000,#1DB100,471
29_ottobre_1980,29 ottobre 1980,Data documento,3000000,#1DB100,52
29_ottobre_1979,29 ottobre 1979,Data documento,7000000,#1DB100,122
29_ottobre_1978,29 ottobre 1978,Data documento,4500000,#1DB100,78
29_ottobre_1977,29 ottobre 1977,Data documento,3000000,#1DB100,52
29_ottobre_1976,29 ottobre 1976,Data documento,3000000,#1DB100,52
29_ottobre_1975,29 ottobre 1975,Data documento,35000000,#1DB100,615
29_ottobre_1974,29 ottobre 1974,Data documento,40000000,#1DB100,9
29_ottobre_1973,29 ottobre 1973,Data documento,80000000,#1DB100,19
29_ottobre_1972,29 ottobre 1972,Data documento,145000000,#1DB100,469
29_ottobre_1971,29 ottobre 1971,Data documento,115000000,#1DB100,635
29_ottobre_1970,29 ottobre 1970,Data documento,188250000,#1DB100,536
29_ottobre_1969,29 ottobre 1969,Data documento,45000000,#1DB100,97
29_ottobre_1968,29 ottobre 1968,Data documento,40000000,#1DB100,9
17_luglio_1969,17 luglio 1969,Data documento,496480000,#1DB100,41
Verbale_n.223,Verbale n.223,Tipo documento,26800000,#00AB8E,471
Verbale_n.222,Verbale n.222,Tipo documento,496480000,#00AB8E,41
Appunto,Appunto,Tipo documento,620500000,#00AB8E,509
Premio_finale,Premio finale,Tipologia sovvenzione,,#FF968D,10
Integrazioni,Integrazioni,Tipologia sovvenzione,573000000,#FF968D,367
Integrazione_recite,Integrazione recite,Tipologia sovvenzione,29841000,#FF968D,524
Contributo_straordinario_,Contributo straordinario,Tipologia sovvenzione,6700000,#FF968D,117
Contributo_integrativo,Contributo integrativo,Tipologia sovvenzione,25000000,#FF968D,439
Verona,Verona,Città,8500000,#FFF056,148
Venezia,Venezia,Città,27785000,#FFF056,488
Trieste,Trieste,Città,250636000,#FFF056,246
Torino,Torino,Città,415000000,#FFF056,362
Roma,Roma,Città,307200000,#FFF056,547
Parma,Parma,Città,14500000,#FFF056,254
Palermo,Palermo,Città,15900000,#FFF056,279
Napoli,Napoli,Città,27000000,#FFF056,474
Milano,Milano,Città,641000000,#FFF056,175
