id,label,type,node_value,node_color,node_size
"I_senza_tetto""_dell'Università_Cattolica_Sacro_Cuore_di_Roma""","I senza tetto"" dell'Università Cattolica Sacro Cuore di Roma""",Soggetto beneficiario,500000,#56C1FF,9
"Alessandro_Fersen_Golem""","Alessandro Fersen Golem""",Soggetto beneficiario,15000000,#56C1FF,267
Amleto_Zamperla,Amleto Zamperla,Soggetto beneficiario,500000,#56C1FF,9
Angelicum,Angelicum,Soggetto beneficiario,27000000,#56C1FF,481
"Associazione_di_Cultura_Teatrale_-_Teatro_Club_Premio_Roma_70""","Associazione di Cultura Teatrale - Teatro Club Premio Roma 70""",Soggetto beneficiario,45000000,#56C1FF,107
Associazione_Teatro_Giovani_di_Valerio_Vancheri_di_Milano,Associazione Teatro Giovani di Valerio Vancheri di Milano,Soggetto beneficiario,5000000,#56C1FF,89
Bax-Bellei-Bussolini-Rizzoli,Bax-Bellei-Bussolini-Rizzoli,Soggetto beneficiario,9355000,#56C1FF,167
Brignone-Santuccio-Millo,Brignone-Santuccio-Millo,Soggetto beneficiario,5450000,#56C1FF,97
Carrara-Laurini,Carrara-Laurini,Soggetto beneficiario,1200000,#56C1FF,22
Carro_di_Tespi,Carro di Tespi,Soggetto beneficiario,17000000,#56C1FF,303
Centro_Attori,Centro Attori,Soggetto beneficiario,2225000,#56C1FF,40
"Centro_di_Laovro_Teatrale_Il_Trebbo""","Centro di Laovro Teatrale Il Trebbo""",Soggetto beneficiario,1000000,#56C1FF,18
Centro_di_Ricerche_Teatrali_I_Rabdomanti,Centro di Ricerche Teatrali I Rabdomanti,Soggetto beneficiario,500000,#56C1FF,9
Centro_Teatro_Esse,Centro Teatro Esse,Soggetto beneficiario,2600000,#56C1FF,47
Centro_Universitario_Teatrale_di_Urbino,Centro Universitario Teatrale di Urbino,Soggetto beneficiario,1000000,#56C1FF,18
Cervi-Adani-Carlini-Granata,Cervi-Adani-Carlini-Granata,Soggetto beneficiario,375000,#56C1FF,1
Chiari-Chelli,Chiari-Chelli,Soggetto beneficiario,455000,#56C1FF,8
CIttà_di_Firenze,CIttà di Firenze,Soggetto beneficiario,500000,#56C1FF,9
Comapgnia_della_Loggetta,Comapgnia della Loggetta,Soggetto beneficiario,2000000,#56C1FF,36
Compagnia_dei_Commedianti,Compagnia dei Commedianti,Soggetto beneficiario,500000,#56C1FF,9
Compagnia_dei_Quattro,Compagnia dei Quattro,Soggetto beneficiario,63730000,#56C1FF,441
Compagnia_del_Porcospino_II,Compagnia del Porcospino II,Soggetto beneficiario,8000000,#56C1FF,143
Compagnia_del_Teatro_dei_Leggendari_di_Siena,Compagnia del Teatro dei Leggendari di Siena,Soggetto beneficiario,1000000,#56C1FF,18
Compagnia_della_Commedia,Compagnia della Commedia,Soggetto beneficiario,4400000,#56C1FF,79
Compagnia_della_Giostra,Compagnia della Giostra,Soggetto beneficiario,2000000,#56C1FF,36
Compagnia_Eduardo_De_Filippo,Compagnia Eduardo De Filippo,Soggetto beneficiario,11000000,#56C1FF,196
Compagnia_La_Milanese,Compagnia La Milanese,Soggetto beneficiario,8000000,#56C1FF,143
Compagnia_Lupo-Valeri,Compagnia Lupo-Valeri,Soggetto beneficiario,5520000,#56C1FF,99
Compagnia_Spettacoli_Classici,Compagnia Spettacoli Classici,Soggetto beneficiario,2000000,#56C1FF,36
Compagnia_Stabile_del_Teatro_Milanese,Compagnia Stabile del Teatro Milanese,Soggetto beneficiario,23000000,#56C1FF,410
Compagnia_Teatro_Insieme,Compagnia Teatro Insieme,Soggetto beneficiario,9000000,#56C1FF,161
Compagnia_Teatro_Libero,Compagnia Teatro Libero,Soggetto beneficiario,9000000,#56C1FF,161
Compagnia_Teatro_San_Babila,Compagnia Teatro San Babila,Soggetto beneficiario,11800000,#56C1FF,210
Compagnia_Tre_Dita,Compagnia Tre Dita,Soggetto beneficiario,1000000,#56C1FF,18
Comunità_teatrale_dell'Emilia-Romagna,Comunità teatrale dell'Emilia-Romagna,Soggetto beneficiario,24600000,#56C1FF,438
Comunità_Teatrale_Italiana,Comunità Teatrale Italiana,Soggetto beneficiario,700000,#56C1FF,13
Cristiano-Isabella,Cristiano-Isabella,Soggetto beneficiario,225000,#56C1FF,4
CUT_Bari,CUT Bari,Soggetto beneficiario,3000000,#56C1FF,54
CUT_Bologna,CUT Bologna,Soggetto beneficiario,3000000,#56C1FF,54
CUT_di_Parma,CUT di Parma,Soggetto beneficiario,10000000,#56C1FF,178
CUT_Firenze,CUT Firenze,Soggetto beneficiario,1800000,#56C1FF,32
CUT_Genova,CUT Genova,Soggetto beneficiario,3000000,#56C1FF,54
CUT_L'Aquila,CUT L'Aquila,Soggetto beneficiario,1000000,#56C1FF,18
CUT_Perugia,CUT Perugia,Soggetto beneficiario,3000000,#56C1FF,54
D'Origlia-Palmi,D'Origlia-Palmi,Soggetto beneficiario,1200000,#56C1FF,22
De_Lullo-Falk-Valli-Albani,De Lullo-Falk-Valli-Albani,Soggetto beneficiario,35000000,#56C1FF,63
E.A._Piccolo_Teatro_della_città_di_Milano,E.A. Piccolo Teatro della città di Milano,Soggetto beneficiario,18000000,#56C1FF,321
E.A._Teatro_Stabile_de_L'Aquila,E.A. Teatro Stabile de L'Aquila,Soggetto beneficiario,12000000,#56C1FF,214
E.A._Teatro_Stabile_di_Prosa_del_Friuli-Venzia_Giulia,E.A. Teatro Stabile di Prosa del Friuli-Venzia Giulia,Soggetto beneficiario,14000000,#56C1FF,25
E.T._Teatro_Stabile_di_prosa_del_Friuli_Venezia_Giulia,E.T. Teatro Stabile di prosa del Friuli Venezia Giulia,Soggetto beneficiario,80000000,#56C1FF,37
E.T.I.,E.T.I.,Soggetto beneficiario,100000000,#56C1FF,393
Ente_autonomo_Teatro_Stabile_de_L'Aquila,Ente autonomo Teatro Stabile de L'Aquila,Soggetto beneficiario,80000000,#56C1FF,37
Ente_Teatro_Cronaca,Ente Teatro Cronaca,Soggetto beneficiario,7000000,#56C1FF,13
Ente_Teatro_di_Sicilia_-_Stabile_di_Catania,Ente Teatro di Sicilia - Stabile di Catania,Soggetto beneficiario,123000000,#56C1FF,108
Er_Piccolo_De_Roma,Er Piccolo De Roma,Soggetto beneficiario,1000000,#56C1FF,18
Estiva_Spettacoli_Gialli,Estiva Spettacoli Gialli,Soggetto beneficiario,700000,#56C1FF,13
Fantocci_Lirici_Otello_Monticelli,Fantocci Lirici Otello Monticelli,Soggetto beneficiario,300000,#56C1FF,6
Ferrati-Orsini-Hintermann,Ferrati-Orsini-Hintermann,Soggetto beneficiario,375000,#56C1FF,1
Fiore_Pisapia_Bianca,Fiore Pisapia Bianca,Soggetto beneficiario,300000,#56C1FF,6
