id,label,type,node_value
"""I_senza_tetto""_dell'Università_Cattolica_Sacro_Cuore_di_Roma","""I senza tetto"" dell'Università Cattolica Sacro Cuore di Roma",Soggetto beneficiario,500000
"Alessandro_Fersen_""Golem""","Alessandro Fersen ""Golem""",Soggetto beneficiario,15000000
Alessandro_Ninchi,Alessandro Ninchi,Soggetto beneficiario,4000000
Alfieri,Alfieri,Soggetto beneficiario,8000000
Alfred_Jarry,Alfred Jarry,Soggetto beneficiario,1800000
Amleto_Zamperla,Amleto Zamperla,Soggetto beneficiario,500000
Angelicum,Angelicum,Soggetto beneficiario,27000000
Associati,Associati,Soggetto beneficiario,20000000
"Associazione_di_Cultura_Teatrale_-_Teatro_Club_""Premio_Roma_70""","Associazione di Cultura Teatrale - Teatro Club ""Premio Roma 70""",Soggetto beneficiario,45000000
Associazione_Teatro_Giovani_di_Valerio_Vancheri_di_Milano,Associazione Teatro Giovani di Valerio Vancheri di Milano,Soggetto beneficiario,5000000
Associazione_Teatro_Giovani_Guglielmo_Viti,Associazione Teatro Giovani Guglielmo Viti,Soggetto beneficiario,7000000
Associazione_Universitaria_Teatrale_Romana,Associazione Universitaria Teatrale Romana,Soggetto beneficiario,1000000
Bar-Bellei-Bussoino-Rizzoli,Bar-Bellei-Bussoino-Rizzoli,Soggetto beneficiario,9000000
Bax-Bellei-Bussolini-Rizzoli,Bax-Bellei-Bussolini-Rizzoli,Soggetto beneficiario,355000
Biondo,Biondo,Soggetto beneficiario,6500000
Brignone-Santuccio,Brignone-Santuccio,Soggetto beneficiario,16000000
Brignone-Santuccio_(Cooperativa_Attori_e_Autori_Italiani),Brignone-Santuccio (Cooperativa Attori e Autori Italiani),Soggetto beneficiario,15000000
Brignone-Santuccio-Millo,Brignone-Santuccio-Millo,Soggetto beneficiario,5450000
Carignano,Carignano,Soggetto beneficiario,10000000
Carrara-Laurini,Carrara-Laurini,Soggetto beneficiario,1200000
Carro_di_Tespi,Carro di Tespi,Soggetto beneficiario,17000000
Centrale,Centrale,Soggetto beneficiario,5000000
Centro_Attori,Centro Attori,Soggetto beneficiario,2225000
Centro_Attori_la_Contemporanea,Centro Attori la Contemporanea,Soggetto beneficiario,1000000
Centro_Attori_Milano,Centro Attori Milano,Soggetto beneficiario,150000
"Centro_di_Laovro_Teatrale_""Il_Trebbo""","Centro di Laovro Teatrale ""Il Trebbo""",Soggetto beneficiario,1000000
Centro_di_Ricerche_Teatrali_I_Rabdomanti,Centro di Ricerche Teatrali I Rabdomanti,Soggetto beneficiario,500000
Centro_Teatro_Esse,Centro Teatro Esse,Soggetto beneficiario,2600000
Centro_Universitario_di_Perugia,Centro Universitario di Perugia,Soggetto beneficiario,3000000
Centro_Universitario_Teatrale_di_Urbino,Centro Universitario Teatrale di Urbino,Soggetto beneficiario,1000000
Cervi-Adani-Carlini-Granata,Cervi-Adani-Carlini-Granata,Soggetto beneficiario,375000
Cervi-Pagani-Carlini-Granata,Cervi-Pagani-Carlini-Granata,Soggetto beneficiario,400000
Chiari-Chelli,Chiari-Chelli,Soggetto beneficiario,455000
CIttà_di_Firenze,CIttà di Firenze,Soggetto beneficiario,500000
Comapgnia_della_Loggetta,Comapgnia della Loggetta,Soggetto beneficiario,2000000
Comapgnia_il_Triennio,Comapgnia il Triennio,Soggetto beneficiario,300000
Comicità_Teatrale_Italiana,Comicità Teatrale Italiana,Soggetto beneficiario,400000
Comp._Del_Teatro_Italiano_con_Peppino_De_Filippo_,Comp. Del Teatro Italiano con Peppino De Filippo,Soggetto beneficiario,8000000
Compagnia_alla_Ringhiera_di_Molè,Compagnia alla Ringhiera di Molè,Soggetto beneficiario,2000000
Compagnia_Bax-Bellei,Compagnia Bax-Bellei,Soggetto beneficiario,350000
Compagnia_Bax-Bellei-Bussolino,Compagnia Bax-Bellei-Bussolino,Soggetto beneficiario,5000000
Compagnia_Cristiano_e_Isabella,Compagnia Cristiano e Isabella,Soggetto beneficiario,1500000
Compagnia_De_Lullo-Falk-Valli-Albani,Compagnia De Lullo-Falk-Valli-Albani,Soggetto beneficiario,15000000
Compagnia_dei_Commedianti,Compagnia dei Commedianti,Soggetto beneficiario,500000
Compagnia_dei_Filodrammatici,Compagnia dei Filodrammatici,Soggetto beneficiario,940000
Compagnia_dei_Quattro,Compagnia dei Quattro,Soggetto beneficiario,43130000
Compagnia_dei_Quattro_,Compagnia dei Quattro,Soggetto beneficiario,20600000
Compagnia_del_Dramma_Italiano,Compagnia del Dramma Italiano,Soggetto beneficiario,3300000
Compagnia_del_Malinteso,Compagnia del Malinteso,Soggetto beneficiario,11000000
Compagnia_del_Porcospino_II,Compagnia del Porcospino II,Soggetto beneficiario,8000000
Compagnia_del_Teatro_dei_Leggendari_di_Siena,Compagnia del Teatro dei Leggendari di Siena,Soggetto beneficiario,1000000
Compagnia_del_Teatro_di_Roma_(Checco_Durante),Compagnia del Teatro di Roma (Checco Durante),Soggetto beneficiario,3000000
Compagnia_del_Teatro_in_Piazza_diretta_da_Massella,Compagnia del Teatro in Piazza diretta da Massella,Soggetto beneficiario,500000
Compagnia_del_Teatro_Moderno,Compagnia del Teatro Moderno,Soggetto beneficiario,300000
Compagnia_dell'Atto,Compagnia dell'Atto,Soggetto beneficiario,7000000
Compagnia_della_Commedia,Compagnia della Commedia,Soggetto beneficiario,4400000
Compagnia_della_Commedia_(Bucciarelli),Compagnia della Commedia (Bucciarelli),Soggetto beneficiario,5000000
Compagnia_della_Giostra,Compagnia della Giostra,Soggetto beneficiario,2000000
Compagnia_di_Armando_Ninchi,Compagnia di Armando Ninchi,Soggetto beneficiario,4000000
Compagnia_di_Eduardo,Compagnia di Eduardo,Soggetto beneficiario,20000000
Compagnia_di_Eduardo_De_Filippo_,Compagnia di Eduardo De Filippo,Soggetto beneficiario,20000000
Compagnia_di_Gino_Cervi,Compagnia di Gino Cervi,Soggetto beneficiario,4000000
Compagnia_Eduardo_De_Filippo,Compagnia Eduardo De Filippo,Soggetto beneficiario,11000000
Compagnia_Ente_Teatro_Cronaca,Compagnia Ente Teatro Cronaca,Soggetto beneficiario,4000000
Compagnia_Fantoni-Fortuno-Ronconi.Scaccia,Compagnia Fantoni-Fortuno-Ronconi.Scaccia,Soggetto beneficiario,15000000
