id,label,type,node_value,x,y
"I_senza_tetto""_dell'Università_Cattolica_Sacro_Cuore_di_Roma""","I senza tetto"" dell'Università Cattolica Sacro Cuore di Roma""",Soggetto beneficiario,500000,10.239.676.513.671.800,10.934.736.328.125
"Alessandro_Fersen_Golem""","Alessandro Fersen Golem""",Soggetto beneficiario,15000000,10.078.234.252.929.600,1.122.123.291.015.620
Alessandro_Ninchi,Alessandro Ninchi,Soggetto beneficiario,4000000,9.473.926.391.601.560,10.702.696.533.203.100
Alfieri,Alfieri,Soggetto beneficiario,8000000,10.116.869.506.835.900,10.234.541.015.625
Alfred_Jarry,Alfred Jarry,Soggetto beneficiario,1800000,10.135.783.081.054.600,10.168.692.626.953.100
Amleto_Zamperla,Amleto Zamperla,Soggetto beneficiario,500000,9.261.564.331.054.680,11.068.343.505.859.300
Angelicum,Angelicum,Soggetto beneficiario,27000000,10.100.472.412.109.300,10.674.161.376.953.100
Associati,Associati,Soggetto beneficiario,20000000,9.901.378.173.828.120,9.997.599.487.304.680
"Associazione_di_Cultura_Teatrale_-_Teatro_Club_Premio_Roma_70""","Associazione di Cultura Teatrale - Teatro Club Premio Roma 70""",Soggetto beneficiario,45000000,9.824.985.961.914.060,10.970.447.998.046.800
Associazione_Teatro_Giovani_di_Valerio_Vancheri_di_Milano,Associazione Teatro Giovani di Valerio Vancheri di Milano,Soggetto beneficiario,5000000,10.208.729.858.398.400,10.950.401.611.328.100
Associazione_Teatro_Giovani_Guglielmo_Viti,Associazione Teatro Giovani Guglielmo Viti,Soggetto beneficiario,7000000,10.261.090.087.890.600,107.043.017.578.125
Associazione_Universitaria_Teatrale_Romana,Associazione Universitaria Teatrale Romana,Soggetto beneficiario,1000000,1.025.885.009.765.620,1.073.977.783.203.120
Bar-Bellei-Bussoino-Rizzoli,Bar-Bellei-Bussoino-Rizzoli,Soggetto beneficiario,9000000,9.568.563.232.421.870,104.139.599.609.375
Bax-Bellei-Bussolini-Rizzoli,Bax-Bellei-Bussolini-Rizzoli,Soggetto beneficiario,355000,9.535.706.176.757.810,10.546.260.986.328.100
Biondo,Biondo,Soggetto beneficiario,6500000,10.155.872.192.382.800,10.276.676.025.390.600
Brignone-Santuccio,Brignone-Santuccio,Soggetto beneficiario,16000000,9.660.398.559.570.310,101.299.658.203.125
Brignone-Santuccio_(Cooperativa_Attori_e_Autori_Italiani),Brignone-Santuccio (Cooperativa Attori e Autori Italiani),Soggetto beneficiario,15000000,9.523.958.129.882.810,10.727.928.466.796.800
Brignone-Santuccio-Millo,Brignone-Santuccio-Millo,Soggetto beneficiario,5450000,9.494.935.913.085.930,1.035.921.630.859.370
Carignano,Carignano,Soggetto beneficiario,10000000,1.008.361.083.984.370,10.217.384.643.554.600
Carrara-Laurini,Carrara-Laurini,Soggetto beneficiario,1200000,9.257.576.904.296.870,11.017.998.046.875
Carro_di_Tespi,Carro di Tespi,Soggetto beneficiario,17000000,100.565.869.140.625,108.358.544.921.875
Centrale,Centrale,Soggetto beneficiario,5000000,1.010.720.458.984.370,10.268.101.806.640.600
Centro_Attori,Centro Attori,Soggetto beneficiario,2225000,9.516.137.084.960.930,10.380.418.701.171.800
Centro_Attori_la_Contemporanea,Centro Attori la Contemporanea,Soggetto beneficiario,1000000,9.815.896.606.445.310,10.021.001.586.914.000
Centro_Attori_Milano,Centro Attori Milano,Soggetto beneficiario,150000,9.739.794.921.875,10.235.382.690.429.600
"Centro_di_Laovro_Teatrale_Il_Trebbo""","Centro di Laovro Teatrale Il Trebbo""",Soggetto beneficiario,1000000,9.505.244.140.625,11.194.339.599.609.300
Centro_di_Ricerche_Teatrali_I_Rabdomanti,Centro di Ricerche Teatrali I Rabdomanti,Soggetto beneficiario,500000,9.478.009.643.554.680,1.118.362.060.546.870
Centro_Teatro_Esse,Centro Teatro Esse,Soggetto beneficiario,2600000,9.848.295.288.085.930,1.056.786.376.953.120
Centro_Universitario_di_Perugia,Centro Universitario di Perugia,Soggetto beneficiario,3000000,10.329.058.837.890.600,1.079.541.748.046.870
Centro_Universitario_Teatrale_di_Urbino,Centro Universitario Teatrale di Urbino,Soggetto beneficiario,1000000,1.035.751.220.703.120,110.274.658.203.125
Cervi-Adani-Carlini-Granata,Cervi-Adani-Carlini-Granata,Soggetto beneficiario,375000,9.442.135.009.765.620,10.545.863.037.109.300
Cervi-Pagani-Carlini-Granata,Cervi-Pagani-Carlini-Granata,Soggetto beneficiario,400000,9.706.798.706.054.680,6218466.55.00
Chiari-Chelli,Chiari-Chelli,Soggetto beneficiario,455000,9.428.517.456.054.680,1.056.622.802.734.370
CIttà_di_Firenze,CIttà di Firenze,Soggetto beneficiario,500000,9.497.866.821.289.060,10.925.040.283.203.100
Comapgnia_della_Loggetta,Comapgnia della Loggetta,Soggetto beneficiario,2000000,9.582.514.038.085.930,1.035.068.115.234.370
Comapgnia_il_Triennio,Comapgnia il Triennio,Soggetto beneficiario,300000,9.773.697.509.765.620,10.259.842.529.296.800
Comicità_Teatrale_Italiana,Comicità Teatrale Italiana,Soggetto beneficiario,400000,10.127.498.779.296.800,10.142.146.606.445.300
Comp._Del_Teatro_Italiano_con_Peppino_De_Filippo_,Comp. Del Teatro Italiano con Peppino De Filippo,Soggetto beneficiario,8000000,1.004.130.126.953.120,102.943.212.890.625
